ID_MATRICULA;DT_NASCIMENTO;ESTADO_CIVIL;SEXO;DEFICIENCIA;COR_ETNIA;CIDADE_ORIGEM;CODIGO_CURSO;VERSAO_CURSO;DT_INGRESSO;FORMA_INGRESSO;MODALIDADE_INGRESSO;ANO_INGRESSO;PERIODO_INGRESSO;FORMA_EVASAO;DATA_EVASAO;DT_CONCLUSAO
1;24/02/1983;Solteiro(a);M;Não possui deficiência;Não declarada;Belo Horizonte;1452BI;1097;01/08/2003;Processo Seletivo: Vestibular;Não se aplica;2003;2° Semestre;Formado;11/07/2009;11/07/2009
2;10/07/1989;Solteiro(a);M;Não possui deficiência;Não declarada;Belo Horizonte;1452BI;1097A;19/03/2008;Processo Seletivo: Vestibular;Não se aplica;2008;1° Semestre;Formado;09/11/2012;09/11/2012
3;10/06/1989;Solteiro(a);F;Não possui deficiência;Não declarada;Belo Horizonte;1452BI;1097A;09/04/2007;Processo Seletivo: PAIES;Não se aplica;2007;1° Semestre;Formado;23/02/2012;23/02/2012
4;04/08/1988;Solteiro(a);F;Não possui deficiência;Branca;Belo Horizonte;1452BI;1097A;09/04/2007;Processo Seletivo: PAIES;Não se aplica;2007;1° Semestre;Formado;09/11/2012;09/11/2012
5;24/10/1988;Solteiro(a);M;Não possui deficiência;Não declarada;Belo Horizonte;1452BI;1097A;09/04/2007;Processo Seletivo: Vestibular;Não se aplica;2007;1° Semestre;Formado;14/07/2011;14/07/2011
6;06/04/1987;Solteiro(a);M;Não possui deficiência;Não declarada;Belo Horizonte;1452BI;1097A;17/10/2006;Processo Seletivo: Vestibular;Não se aplica;2006;2° Semestre;Formado;27/11/2012;27/11/2012
7;19/06/1987;Solteiro(a);M;Não possui deficiência;Não declarada;Belo Horizonte;1452BI;1097A;23/05/2006;Processo Seletivo: PAIES;Não se aplica;2006;1° Semestre;Formado;20/01/2010;20/01/2010
8;13/10/1976;Solteiro(a);M;Não possui deficiência;Parda;Belo Horizonte;1452BI;2010-2;24/02/2010;Processo Seletivo: Transferência;Não se aplica;2010;2° Semestre;Desistente Oficial;18/10/2012;
9;01/04/1991;Solteiro(a);M;Não possui deficiência;Não declarada;Belo Horizonte;115728BN;2009-1;01/03/2010;Processo Seletivo: Vestibular;Não se aplica;2010;1° Semestre;Desistente Oficial;12/09/2014;
10;10/03/1974;Casado(a);M;Não possui deficiência;Branca;Belo Horizonte;1452BI;2012-1;21/10/2013;Processo Seletivo: Port. Dipl. Curso Sup;Não se aplica;2013;2° Semestre;Desistente Oficial;26/01/2016;
11;13/10/1976;Solteiro(a);M;Não possui deficiência;Parda;Belo Horizonte;1137717BI;2014-1;26/11/2012;Processo Seletivo: Vestibular;Não se aplica;2012;1° Semestre;Desistente Oficial;24/06/2013;
12;27/10/1994;Solteiro(a);M;Não possui deficiência;Branca;Belo Horizonte;1452BI;2012-1;27/02/2012;Processo Seletivo: SISU;Não se aplica;2012;1° Semestre;Desistente Oficial;11/01/2013;
13;01/04/1991;Solteiro(a);M;Não possui deficiência;Não declarada;Belo Horizonte;115728BN;2016-1;19/09/2014;Processo Seletivo: Vestibular;Modalidade 5 - Ampla Concorrência;2014;2° Semestre;Abandono;;
14;26/02/1991;Solteiro(a);M;Não possui deficiência;Parda;Belo Horizonte;115728BN;2016-1;19/09/2014;Processo Seletivo: Vestibular;Modalidade 1 - Escola Pública/Pretos/Pardos/Indígenas/até 1,5 Salário Mínimo;2014;2° Semestre;Jubilamento;;
