COD_DISCIPLINA;IDT_TURMA;DTA_AULA;DSC_CONTEUDO;IDT_AULA
GSI001;1861;22/10/2013;APRESENTACAO DA FICHA DA DISCIPLINA OBJETIVOS, EMENTA, PROGRAMA PLANEJAMENTO DATAS DE AVALIACAO E TRABALHOS;1
GSI001;1861;25/10/2013;INTRODUCAO A IMPORTANCIA DA GESTAO EMPREENDEDORA E PESQUISA UNIVERSITARIA PARA O DESENVOLVIMENTO DO PAIS RELACAO UNIVERSIDADE EMPRESA E ORGAOS DE FOMENTO QUEM SAO OS EMPREENDEDORES? A CORRENTE DO EMPREENDEDORISMO;2
GSI001;1861;29/10/2013;NOVA ORDEM MUNDIAL IMPORTANCIA DAS PEQUENAS E MEDIAS EMPRESAS PME NO BRASIL ELEMENTOS DA PROFISSAO DE EMPREENDEDOR ENSINO DE EMPREENDEDORISMO EM INSTITUICOES DE ENSINO SUPERIOR;2
GSI001;1861;01/11/2013;ESTUDO SOBRE O PERFIL DOS EMPREENDEDORES CARACTERISTICAS DO EMPREENDEDOR O QUE E UM EMPREENDEDOR TRACOS DE PERSONALIDADE BIOGRAFIA E APRENDIZADO;2
GSI001;1861;05/11/2013;PLANEJAMENTO DE SUA CARREIRA DE EMPREENDEDOR CAPACIDADE DE CONCEBER IDEIAS E REALIZALAS CRIATIVIDADE E PROPENSAO AO RISCO CALCULADO;2
GSI001;1861;08/11/2013;TRABALHO EM GRUPO ESTUDOS DE CASO DISCUSSAO EM SALA DE AULA;10
GSI001;1861;12/11/2013;DESENVOLVENDO VISOES E RELACOES A CONCEPCAO DE NOVAS VISOES A IMPORTANCIA DO ESTABELECIMENTO E ADMINISTRACAO DE SUAS RELACOES NETWORKING OU CONSTRUCAO DE REDES DE RELACIONAMENTOS;6
GSI001;1861;19/11/2013;CRIACAO DE NOVOS NEGOCIOS NOVOS NEGOCIOS DENTRO DAS EMPRESAS EMPREENDEDORISMO CORPORATIVO OU INTRAEMPREEDEDORISMO INFLUENCIA DAS INCUBADORAS DE EMPRESAS NA CRIACAO DE NEGOCIOS A CRIACAO DA INCUBADORA DE BASE TECNOLOGICA DE AGENCIA DE TECNOLOGIA DA UFU;6
GSI001;1861;22/11/2013;ARRANJOS PRODUTIVOS LOCAIS ALPS OU REDES DE PEQUENAS EMPRESAS O APOIO DOS ORGAOS DE FOMENTO COMO SEBRAE, FINEP, FAPEMIG, IEL, CNPQ;6
GSI001;1861;26/11/2013;EMPREENDEDOR E ASPECTOS JURIDICOS ORGANIZANDO A SUA NOVA EMPRESA PROCESSO DE ABERTURA DE EMPRESAS CONSTITUICAO DE SOCIEDADE EMPRESARIA INDIVIDUAL OU SOCIEDADE;6
GSI001;1861;29/11/2013;FORMA JURIDICA TRIBUTACAO E ENCARGOS SOCIAIS ASPECTOS LEGAIS REGISTROS;2
GSI001;1861;03/12/2013;TRABALHO EM GRUPO ESTUDO DE ARTIGO CIENTIFICO SOBRE CRIACAO DE NOVOS NEGOCIOS;10
GSI001;1861;06/12/2013;PROTECAO DA PROPRIEDADE INTELECTUAL PATENTES, REGISTRO DE MARCAS E DESENHOS INDUSTRIAIS E DIREITOS AUTORAIS INPI INSTITUTO NACIONAL DE PROPRIEDADE INDUSTRIAL PATENTES E MARCAS COMO ATIVOS INTANGIVEIS;6
GSI001;1861;10/12/2013;CAPITAL DE RISCOS FONTES DE FINANCIAMENTOS E NEGOCIACAO DE EMPRESTIMOS PRINCIPAIS FONTES DE FUNDOS;7
GSI001;1861;13/12/2013;FONTES DE FINANCIAMENTO E ORGAOS DE APOIO A PEQUENA E MEDIA EMPRESA NO BRASIL REVISAO PARA A 1A AVALIACAO;7
GSI001;1861;17/12/2013;APLICACAO DA 1A AVALIACAO;10
GSI001;1861;20/12/2013;VISTA DE PROVA E FECHAMENTO PARCIAL DE NOTAS E FREQUENCIA;11
GSI001;1861;07/01/2014;FORMULACAO DO PLANO DE NEGOCIOS CONCEITO EXPLORANDO NOVAS IDEIAS E OPORTUNIDADES DE NEGOCIOS;5
GSI001;1861;10/01/2014;AREAS FUTURAS DE OPORTUNIDADES DEFINICAO DE UMA IDEIA PARA ELABORAR O PLANO DE NEGOCIOS;5
GSI001;1861;14/01/2014;FILME E EXERCICIO EM GRUPO A REDE SOCIAL;5
GSI001;1861;17/01/2014;DISCUSSAO EM SALA DE AULA SOBRE O EXERCICIO DO FILME;5
GSI001;1861;21/01/2014;DEFINICAO DE UMA IDEIA PARA ELABORAR O PLANO DE NEGOCIOS PLANO DE NEGOCIOS SIMPLIFICADO PARA CONSOLIDACAO DA IDEIA ELABORACAO DO PLANO DE NEGOCIOS E SUAS PARTES PRINCIPAIS;3
GSI001;1861;24/01/2014;PLANO DE NEGOCIOS SUMARIO EXECUTIVO ANALISE DE MERCADO SEGMENTACAO E PUBLICOALVO;3
GSI001;1861;28/01/2014;ANALISE DE MERCADO ESTUDO DOS CONCORRENTES, CLIENTES E FORNECEDORES;6
GSI001;1861;31/01/2014;APLICACAO DA 2A AVALIACAO;10
GSI001;1861;04/02/2014;PLANO DE MARKETING ANALISE E APLICACAO DOS 4PS PRODUTO, PRECO, PRACA E PROMOCAO VISTA DE PROVA;7
GSI001;1861;07/02/2014;PLANO DE MARKETING APLICACAO DOS 4PS ACOES ESTRATEGICAS;7
GSI001;1861;11/02/2014;PLANO ORGANIZACIONAL CONSTITUICAO JURIDICA E EQUIPE PARA O NEGOCIO;3
GSI001;1861;14/02/2014;PLANO OPERACIONAL LAYOUT E PARQUE TECNOLOGICO;6
GSI001;1861;18/02/2014;PLANO OPERACIONAL LAYOUT E PARQUE TECNOLOGICO;6
GSI001;1861;21/02/2014;PLANO FINANCEIRO ANALISE E APLICACAO DOS INDICES ECONOMICO E FINANCEIROS;7
GSI001;1861;25/02/2014;PLANO FINANCEIRO ANALISE E APLICACAO DOS INDICES ECONOMICO E FINANCEIROS;7
GSI001;1861;28/02/2014;TRABALHO EM GRUPO ESTUDO DE ARTIGO CIENTIFICO;10
GSI001;1861;07/03/2014;TRABALHO EM GRUPO ESTUDO DE ARTIGO CIENTIFICO;10
GSI001;1861;11/03/2014;ENTREGA DE NOTAS E FREQUENCIA, RESOLUCAO DE DUVIDAS E ADEQUACOES;11
GSI001;1861;14/03/2014;FECHAMENTO DA DISCIPLINA COM MAPA DE NOTAS E FREQUENCIA GERAL;11
GSI001;1884;01/03/2010;APRESENTACAO DO CURSO;1
GSI001;1884;04/03/2010;APRESENTACAO DO PLANO DE ENSINO DA DISCIPLINA;1
GSI001;1884;08/03/2010;SEPARACAO DOS GRUPOS DOS SEMINARIOS EXPLANACAO DE ATIVIDADE;10
GSI001;1884;11/03/2010;2 O PROCESSO EMPREENDEDOR;2
GSI001;1884;15/03/2010;O PERFIL DO EMPREENDEDOR;2
GSI001;1884;18/03/2010;APRESENTACAO DE ATIVIDADES SOBRE O PERFIL DO EMPREENDEDOR;2
GSI001;1884;22/03/2010;DESCOBRINDO OPORTUNIDADES CONCEITOS E DINAMICA PRODUTOS DE USO DIARIO E CRIAR UM PRODUTO POTENCIAL;5
GSI001;1884;25/03/2010;ESTUDO DE CASO;4
GSI001;1884;29/03/2010;APLICACAO DA 1A PROVA;10
GSI001;1884;01/04/2010;ESTUDO DE CASO DE EMPREENDEDORISMO;4
GSI001;1884;05/04/2010;APRESENTACAO DAS EMPRESAS DOS GRUPOS ASPECTOS GERAIS NA CONSTITUICAO, LEGALIZACAO E TRIBUTACAO DE EMPRESAS, ETC;6
GSI001;1884;08/04/2010;O EMPREENDEDORISMO COMO OPCAO DE CARREIRA;2
GSI001;1884;12/04/2010;AULA DE REVISAO;9
GSI001;1884;15/04/2010;AVALIACAO VALOR 25 PONTOS;10
GSI001;1884;19/04/2010;ESTUDO DE CASO;4
GSI001;1884;22/04/2010;APRESENTACAO 1 E 4 TITULOS DE CREDITO;10
