COD_DISCIPLINA;DSC_PROGRAMA;COD_INDICE;IDT_AULA
GSI001;APRESENTACAO DA DISCIPLINA, LEVANTAMENTO DE EXPECTATIVAS, AUTO-AVALIACAO, AVALIACAO DO CURSO PELOS ALUNOS;1;1
GSI001;O PERFIL DO EMPREENDEDOR;2;2
GSI001;PLANO DE NEGOCIOS SIMPLIFICADO, IDEIAS DE NEGOCIO;3;3
GSI001;APRESENTACAO DAS IDEIAS DE NEGOCIO DOS GRUPOS, O CONCEITO DE CRIATIVIDADE ABORDAGENS TEORICAS E FERRAMENTAS DE GERACAO DE IDEIAS E DESENVOLVIMENTO DA CRIATIVIDADE EXERCICIOS PRATICOS DE CRIATIVIDADE;3;4
GSI001;BRAINSTORMING IDEIAS DE EMPRESAS, DISCUSSAO IDEIA E OPORTUNIDADE - DEBATE, DEFINICAO DE EMPRESA EMERGENTE;3;5
GSI001;CRIACAO E LANCAMENTO DE UMA EMPRESA NO MERCADO, APRESENTACAO DOS RESULTADOS DA PESQUISA JUNTO AOS CLIENTES, APRESENTACAO DOS RESULTADOS DA ANALISE DA CONCORRENCIA;4;6
GSI001;PLANEJAMENTO FINANCEIRO PARA EMPRESAS EMERGENTES ,  CUSTOS FIXOS, VARIAVEIS;5;7
GSI001;DEPOIMENTOS DE EMPREENDEDORES;6;8
GSI001;DUVIDAS,EXERCICIOS,REVISAO;8;9
GSI001;PROVA,SEMINARIO,APRESENTACAO,ATIVIDADE AVALIATIVA;8;10
GSI001;VISTA/ENCERRAMENTO;8;11
GSI002;APRESENTACAO DA DISCIPLINA, LINGUAGENS PROCEDIMENTAIS, ITENS FUNDAMENTAIS;1;1
GSI002;VARIAVEIS, TIPOS DE DADOS, INT, FLOAT, DOUBLE, CHAR, AMBIENTES DE PROGRAMACAO, COMPILADORES E INTERPRETADORES, ESTRUTURA BASICA DOS PROGRAMAS;1;2
GSI002;ENTRADA E SAIDA DE DADOS, SCANF, PRINTF, PUTS, GETS, FGETS, OPERADORES;1;3
GSI002;ESTRUTURAS DE CONTROLE, IF, ELSE, SWITCH, ESTRUTURAS DE DECISAO;1;4
GSI002;ESTRUTURAS DE REPETICAO, FOR, WHILE, DO WHILE, BREAK, CONTINUE;1;5
GSI002;VARIAVEIS COMPOSTAS HOMOGENEAS, VETORES, MATRIZES;1;6
GSI002;VARIAVEIS COMPOSTAS HETEROGENEAS, REGISTROS, STRUCTS;1;7
GSI002;MODULACAO DE PROGRAMAS DECLARACAO E MANIPULACAO DE MODULOS, ESCOPO DE VARIAVEIS E PASSAGEM DE PARAMETROS;1;8
GSI002;ALOCACAO DINAMICA DE MEMORIA E PONTEIROS;1;9
GSI002;ALGORITMOS ITERATIVOS, RECURSIVOS, ALGORITMOS NUMERICOS E NAO NUMERICOS, APLICACAO DA METODOLOGIA DE REFINAMENTOS;3;10
GSI002;ALGORITMOS QUE MANIPULAM DADOS REPRESENTADOS SOB A FORMA DE TABELAS;3;11
GSI002;ALGORITMOS DE ORDENACAO;3;12
GSI002;DUVIDAS,EXERCICIOS,REVISAO;4;13
GSI002;PROVA,SEMINARIO,APRESENTACAO,ATIVIDADE AVALIATIVA;4;14
GSI002;VISTA/ENCERRAMENTO;4;15
GSI003;INTRODUCAO AOS SISTEMAS DE INFORMACAO;1;1
GSI003;ABORDAGEM SISTEMICA CONCEITOS E CARACTERISTICAS;1;2
GSI003;PROPRIEDADES DOS SISTEMAS;1;3
GSI003;ENGENHARIA DE SISTEMAS X ANALISE DE SISTEMAS, DESENVOLVIMENTO DE SISTEMAS DE INFORMACAO;1;4
GSI003;APLICACAO DA TECNOLOGIA DA INFORMACAO NAS ORGANIZACOES, DADO, INFORMACAO E CONHECIMENTO;2;5
GSI003;ORGANIZACOES CONCEITO, CARACTERISTICAS, FUNCOES CLASSICAS, O PAPEL DA TI NAS ORGANIZACOES;2;6
GSI003;TIPOLOGIA DE SISTEMAS DE INFORMACAO;3;7
GSI003;CONCEITOS DE SISTEMAS DE INFORMACAO, SISTEMAS DE INFORMACAO TRANSACIONAIS;3;8
GSI003;MODELAGEM DE SISTEMAS DE INFORMACAO, VISAO GERAL DOS ASPECTOS DE MODELAGEM DE SISTEMAS DE INFORMACAO, , FUNDAMENTOS DE MODELAGEM DE DADOS CONCEITOS BASICOS (ENTIDADE, RELACIONAMENTO, ATRIBUTO, CHAVE- PRIMARIA), DER NOTACAO DA ENGENHARIA DA INFORMACAO E IDEFIX, IDENTIFICANDO OS RELACIONAMENTOS APROPRIADOS;4;9
GSI003;VISAO GERAL DOS MODELOS DE ESPECIFICACAO DE SOFTWARE UML E ANALISE ESTRUTURADA FUNDAMENTOS DE ANALISE ESTRUTURADA MODELO AMBIENTAL MODELO COMPORTAMENTAL PRELIMINAR;4;10
GSI003;FUNDAMENTOS DE MODELAGEM DE DADOS CONCEITOS BASICOS (ENTIDADE, RELACIONAMENTO, ATRIBUTO, CHAVE- PRIMARIA), DER NOTACAO DA ENGENHARIA DA INFORMACAO E IDEFIX, IDENTIFICANDO OS RELACIONAMENTOS APROPRIADOS;4;11
GSI003;DUVIDAS,EXERCICIOS,REVISAO;5;12
GSI003;PROVA,SEMINARIO,APRESENTACAO,ATIVIDADE AVALIATIVA;5;13
GSI003;VISTA/ENCERRAMENTO;5;14
GSI004;INTRODUCAO, HISTORIA, FUNCOES, DEFINICOES E EXPRESSOES, TIPOS, COLETA DE LIXO;1;1
GSI004;CALCULO LAMBDA, FUNDAMENTOS;2;2
GSI004;TIPOS BASICOS DE DADOS;3;3
GSI004;LISTA, COMPREENSOES, LISTAS PARCIAIS E INFINITAS, PARES E TRIPLAS, ESTRUTURA DE DADOS, TIPOS ALGEBRICOS, TIPOS ABSTRATOS;4;4
GSI004;RECURSAO ,TEORIAS, MODELOS E INDUCAO MATEMATICA, FUNCOES DEFINIDAS POR INDUCAO, FUNCOES RECURSIVAS SOBRE TIPOS ESCALARES, CONJUNTOS DEFINIDOS POR INDUCAO;5;5
GSI004;EFICIENCIA, MEMORIA E PARALELISMO , MODULOS E PROCESSOS, ENTRADA E SAIDA, INTERACOES E STREAMS;7;6
GSI004;MODULOS E INTERFACES;8;7
GSI004;DUVIDAS,EXERCICIOS,REVISAO;9;8
GSI004;PROVA,SEMINARIO,APRESENTACAO,ATIVIDADE AVALIATIVA;9;9
GSI004;VISTA/ENCERRAMENTO;9;10
GSI005;INTRODUCAO;1;1
GSI005;LOGICA PROPOSICIONAL - SINTAXE, SIMBOLOS, CONECTIVOS;1;2
GSI005;LOGICA PROPOSICIONAL - SEMANTICA, TABELA VERDADE;1;3
GSI005;PROPRIEDADES SEMANTICAS DA LOGICA PROPOSICIONAL, TAUTOLOGIA, SATISFATIVEL, CONTRADITORIA;1;4
GSI005;METODOS PARA DETERMINACAO DA VALIDADE DE FORMULAS DA LOGICA PROPOSIONAL - TABELA VERDADE, NEGACAO, REDUCAO AO ABSURDO;1;5
GSI005;SISTEMAS DE CONECTIVOS COMPLETOS E NAO COMPLETOS, FORMAS NORMAIS;2;6
GSI005;DEDUCAO AXIOMATICA NA LOGICA PROPOSICIONAL, REGRAS DE INFERENCIA, MODUS PONENS;3;7
GSI005;SINTAXE E SEMANTICA DA LOGICA DE PREDICADOS;4;8
GSI005;A LINGUAGEM DA LOGICA DE PREDICADOS, PREDICADOS, FUNCOES, ARIDADE, VARIAVEL, ATOMO;4;9
GSI005;A SEMANTICA DAS FORMULAS DA LOGICA DE PREDICADOS;4;10
GSI005;PROPRIEDADES SEMANTICAS NA LOGICA DE PREDICADOS;4;11
GSI005;SINTAXE DA PROGRAMACAO LOGICA, UNIFICACAO;4;12
GSI005;DUVIDAS,EXERCICIOS,REVISAO;8;13
GSI005;PROVA,SEMINARIO,APRESENTACAO,ATIVIDADE AVALIATIVA;9;14
GSI005;VISTA/ENCERRAMENTO;10;15
GSI006;INTRODUCAO, EXECUCAO DE PROGRAMAS - ARGC E ARGV;1;1
GSI006;ALOCACAO DINAMICA DE MEMORIA E PONTEIROS;1;2
GSI006;FUNCOES;1;3
GSI006;ALGORITMOS DE ORDENACAO;1;4
GSI006;ANALISE ALGORITMOS;1;5
GSI006;ARQUIVOS, REVISAO DA LINGUAGEM C;1;6
GSI006;ALGORITMOS DE BUSCA;1;7
GSI006;CONCEITOS LISTAS LINEARES;1;8
GSI006;TAD;1;9
GSI006;OPERACOES LINEARES EM ALOCACAO SEQUENCIAL, LISTAS ESTATICAS, LISTAS SEQUENCIAIS, IMPLEMENTACAO ATRAVES DE VETORES;1;10
GSI006;LISTAS LINEARES EM ALOCACAO ENCADEADA, LISTAS ENCADEADAS;1;11
GSI006;IMPLEMENTACAO ATRAVES DE VARIAVEIS DINAMICAS;1;12
GSI006;LISTAS DUPLAMENTE ENCADEADAS;1;13
GSI006;LISTAS CIRCULARES;1;14
GSI006;CONCEITOS FILAS, REPRESENTACAO DE FILAS ATRAVES DE LISTAS LINEARES, FILAS ENCADEADAS, FILAS DINAMICAS, FILA DE PRIORIDADES;2;15
GSI006;CONCEITOS PILHAS, REPRESENTACAO DE PILHAS ATRAVES DE VETORES, REPRESENTACAO DE PILHAS ATRAVES DE LISTAS LINEARES, PILHAS LINEARES;3;16
GSI006;DUVIDAS,EXERCICIOS,REVISAO;5;17
GSI006;PROVA,SEMINARIO,APRESENTACAO,ATIVIDADE AVALIATIVA;5;18
GSI006;VISTA/ENCERRAMENTO;5;19
GSI007;PRELIMINARES;1;1
GSI007;NUMEROS REAIS E SUAS PROPRIEDADES, MODULO, DESIGUALDADES;1;2
GSI007;FUNCAO, DOMINIO, IMAGEM E GRAFICO, ASSINTOTAS, ESBOCO DE GRAFICOS, EXTREMOS LOCAIS, EXTREMOS ABSOLUTOS;1;3
GSI007;INVERSAO DE FUNCOES E OUTRAS OPERACOES;1;4
GSI007;FUNCOES TRIGONOMETRICAS E SUAS INVERSAS;1;5
GSI007;LIMITES E DERIVACAO;2;6
GSI007;LIMITES, CONTINUIDADE E DERIVACAO;2;7
GSI007;REGRAS DE DERIVACAO, RETA TANGENTE E APROXIMACAO LINEAR, A REGRA DA CADEIA E DERIVADA DA INVERSA;2;8
GSI007;DERIVADAS TRIGONOMETRICAS;2;9
GSI007;FUNCOES EXPONENCIAL E LOGARITMICA;2;10
GSI007;O TEOREMA DO VALOR MEDIO, CRESCIMENTO E DECRESCIMENTO;2;11
GSI007;PONTOS DE INFLEXAO E CONCAVIDADE;2;12
GSI007;WEIERSTRASS, CAUCHY E L'HOSPITAL;2;13
GSI007;INTEGRACAO, INTEGRAL INDEFINIDA, MUDANCA DE VARIAVEL OU SUBSTITUICAO INTEGRACAO POR PARTES;3;14
GSI007;SOMAS DE RIEMANN E INTEGRAL DEFINIDA;3;15
GSI007;O TEOREMA FUNDAMENTAL DO CALCULO;3;16
GSI007;DUVIDAS,EXERCICIOS,REVISAO;4;17
GSI007;PROVA,SEMINARIO,APRESENTACAO,ATIVIDADE AVALIATIVA;4;18
GSI007;VISTA/ENCERRAMENTO;4;19
GSI008;INTRODUCAO, SISTEMAS DE NUMERACAO E CODIGOS;1;1
GSI008;SISTEMA BINARIO, OCTAL E HEXADECIMAL, REPRESENTACAO DE NUMEROS BINARIOS, CODIGOS BCD, GRAY E ASCII;1;2
GSI008;INTRODUCAO E CORRECAO DE ERROS PARIDADE, CODIGO HAMMING;1;3
GSI008;PRINCIPAIS TEOREMAS DA ALGEBRA DE BOOLE, VARIAVEIS E FUNCOES LOGICAS, TABELA VERDADE, FUNCOES LOGICAS;2;4
GSI008;FUNDAMENTOS DE CIRCUITOS COMBINACIONAIS;3;5
GSI008;MINIMIZACAO DE CIRCUITOS COMBINACIONAIS;3;6
GSI008;MAPAS DE KARNAUGH;3;7
GSI008;PROJETO DE CIRCUITOS COMBINACIONAIS;3;8
GSI008;CIRCUITOS COMBINACIONAIS BASICOS;4;9
GSI008;FAMILIAS DE CIRCUITOS DE LOGICOS (TTL, ECL, IIL CMOS);4;10
GSI008;CODIFICADORES E DECODIFICADORES;4;11
GSI008;MULTIPLEXADORES E DEMULTIPLEXADORES;4;12
