ID_TURMA;ID_MATRICULA;NUM_FALTAS;MEDIA_FINAL;SITUACAO_FINAL
1011;1836;8;69;Aprovado
1011;370;4;60;Aprovado
1323;1439;2;68;Aprovado
1323;46;0;60;Aprovado
1323;682;0;71;Aprovado
1275;48;10;73;Aprovado
1275;1439;14;64;Aprovado
1275;3145;4;89;Aprovado
1423;586;10;87;Aprovado
1275;1633;4;87;Aprovado
1275;877;4;91;Aprovado
1275;504;14;66;Aprovado
1275;4;4;92;Aprovado
1275;1730;6;88;Aprovado
1275;894;6;84;Aprovado
1275;5;6;94;Aprovado
1275;1781;4;86;Aprovado
1256;760;2;60;Aprovado
1256;1201;2;60;Aprovado
1256;1366;4;66;Aprovado
1256;1244;2;60;Aprovado
1256;665;0;92;Aprovado
1256;1764;0;71;Aprovado
1256;1780;0;70;Aprovado
1256;1776;0;71;Aprovado
1256;1633;0;88;Aprovado
1256;1775;2;87;Aprovado
1256;1795;0;94;Aprovado
1256;1713;4;60;Aprovado
1256;1363;0;92;Aprovado
1256;1313;2;72;Aprovado
1256;874;0;74;Aprovado
1256;368;0;80;Aprovado
1256;1558;0;60;Aprovado
1256;192;6;60;Aprovado
1256;1632;0;60;Aprovado
1256;517;6;60;Aprovado
1256;1440;2;64;Aprovado
1256;649;8;62;Aprovado
1256;898;0;88;Aprovado
1256;1789;0;98;Aprovado
1256;1642;0;85;Aprovado
1256;1486;0;77;Aprovado
1256;1592;0;78;Aprovado
1256;3194;0;76;Aprovado
1256;196;0;82;Aprovado
1324;865;18;64;Aprovado
1324;665;6;80;Aprovado
1324;1788;0;93;Aprovado
1324;1250;0;87;Aprovado
1324;1765;18;65;Aprovado
1324;1731;18;61;Aprovado
1324;1720;16;67;Aprovado
1324;1399;18;70;Aprovado
1324;1197;10;85;Aprovado
1324;1642;2;98;Aprovado
1324;1486;4;97;Aprovado
1324;1592;6;86;Aprovado
1324;3194;12;80;Aprovado
1324;196;8;92;Aprovado
1038;142;4;69;Aprovado
1038;679;16;60;Aprovado
1038;193;14;69;Aprovado
1038;1828;12;69;Aprovado
1038;2;4;65;Aprovado
1038;1802;2;61;Aprovado
1038;1759;12;70;Aprovado
1358;1781;2;75;Aprovado
1289;761;6;60;Aprovado
1289;3145;2;68;Aprovado
1289;1796;0;67;Aprovado
1289;206;10;63;Aprovado
1289;1775;10;71;Aprovado
1289;1808;0;78;Aprovado
1289;1783;14;69;Aprovado
1289;1772;16;65;Aprovado
1289;1474;16;60;Aprovado
1289;1763;18;66;Aprovado
1289;759;16;61;Aprovado
1289;1762;12;62;Aprovado
1289;1793;0;61;Aprovado
1289;1785;6;68;Aprovado
1289;3134;4;68;Aprovado
1289;1807;2;69;Aprovado
1289;1800;6;67;Aprovado
1289;862;2;85;Aprovado
1289;1784;14;67;Aprovado
1289;1809;14;60;Aprovado
1289;1799;6;62;Aprovado
1289;1165;14;71;Aprovado
1289;1795;18;90;Aprovado
1289;90;0;90;Aprovado
1181;521;0;70;Aprovado
1181;537;0;100;Aprovado
1181;679;6;60;Aprovado
1181;1810;3;67;Aprovado
1181;641;0;74;Aprovado
1181;1802;0;60;Aprovado
1181;1638;0;60;Aprovado
1181;48;0;61;Aprovado
1181;1822;0;93;Aprovado
