ID_TURMA;ANO;PERIODO;CODIGO_CURSO;COD_DISC;NOME_DISC
1;2018;1° Semestre;1452BI;GBC041;Estatística
2;2018;2° Semestre;1452BI;GBC056;Arquitetura de Redes de Computadores
3;2019;1° Semestre;1452BI;GBC046;Arquitetura e Organização de Computadores 2
4;2019;2° Semestre;1452BI;GBC061;Gestão Empresarial
5;2019;2° Semestre;1452BI;GBC066;Arquitetura de Redes TCP/IP
6;2018;2° Semestre;1452BI;GBC061;Gestão Empresarial
7;2018;1° Semestre;1452BI;GBC014;Programação Procedimental
8;2018;2° Semestre;1452BI;GBC035;Programação Orientada a Objetos 1
9;2019;1° Semestre;1452BI;GBC055;Programação Orientada a Objetos 2
10;2019;1° Semestre;1452BI;GBC084;Programação para Internet
11;2019;2° Semestre;1452BI;GBC056;Arquitetura de Redes de Computadores
12;2018;1° Semestre;1452BI;FAMAT31041;Estatística Computacional
13;2017;2° Semestre;1452BI;GBC011;Empreendedorismo em Informática
14;2017;2° Semestre;1452BI;GBC012;Cálculo Diferencial e Integral 1
15;2017;2° Semestre;1452BI;GBC013;Geometria Analítica e Álgebra Linear
16;2017;2° Semestre;1452BI;GBC014;Programação Procedimental
17;2017;2° Semestre;1452BI;GBC015;Introdução à Ciência da Computação
18;2017;2° Semestre;1452BI;GBC016;Lógica para Computação
19;2018;1° Semestre;1452BI;GBC023;Matemática para a Ciência da Computação
20;2018;1° Semestre;1452BI;GBC026;Sistemas Digitais
21;2018;2° Semestre;1452BI;GBC036;Arquitetura e Organização de Computadores 1
22;2018;2° Semestre;1452BI;GBC041;Estatística
23;2019;1° Semestre;1452BI;FAMAT31041;Estatística Computacional
24;2019;1° Semestre;1452BI;GBC045;Sistemas Operacionais
25;2019;2° Semestre;1452BI;GBC054;Modelagem de Software
26;2018;1° Semestre;1452BI;GBC026;Sistemas Digitais
27;2018;1° Semestre;1452BI;GBC022;Cálculo Diferencial e Integral 2
28;2017;2° Semestre;1452BI;GBC056;Arquitetura de Redes de Computadores
29;2018;1° Semestre;1452BI;GBC051;Computação Científica e Otimização
30;2018;1° Semestre;1452BI;GBC071;Construção de Compiladores
31;2017;2° Semestre;1452BI;GBC095;Estágio Supervisionado
32;2018;2° Semestre;1452BI;GBC051;Computação Científica e Otimização
33;2018;2° Semestre;1452BI;GBC013;Geometria Analítica e Álgebra Linear
34;2019;2° Semestre;1452BI;GBC011;Empreendedorismo em Informática
35;2019;2° Semestre;1452BI;GBC012;Cálculo Diferencial e Integral 1
36;2019;2° Semestre;1452BI;GBC013;Geometria Analítica e Álgebra Linear
37;2019;2° Semestre;1452BI;GBC014;Programação Procedimental
38;2019;2° Semestre;1452BI;GBC015;Introdução à Ciência da Computação
39;2019;2° Semestre;1452BI;GBC016;Lógica para Computação
40;2019;2° Semestre;1452BI;GBC014;Programação Procedimental
